# Station Soma
# Location (Grid) 74,696
time,height,momentumX,momentumY
828.728,19.7379,1.26148,-0.295912
830.147,19.7372,1.2627,-0.296257
831.566,19.7365,1.26392,-0.296602
832.985,19.7358,1.26514,-0.296948
834.404,19.7351,1.26636,-0.297294
835.823,19.7344,1.26758,-0.297641
837.242,19.7337,1.26879,-0.297987
838.662,19.7329,1.27001,-0.298335
840.081,19.7322,1.27123,-0.298682
841.5,19.7315,1.27245,-0.29903
842.919,19.7308,1.27367,-0.299378
844.338,19.7301,1.27489,-0.299727
845.757,19.7293,1.27611,-0.300075
847.176,19.7286,1.27733,-0.300425
848.595,19.7279,1.27855,-0.300774
850.014,19.7272,1.27977,-0.301124
851.433,19.7264,1.28099,-0.301474
852.852,19.7257,1.28221,-0.301824
854.271,19.725,1.28343,-0.302175
855.69,19.7243,1.28466,-0.302526
857.109,19.7235,1.28588,-0.302877
858.528,19.7228,1.2871,-0.303229
859.947,19.7221,1.28832,-0.303581
861.366,19.7214,1.28954,-0.303934
862.786,19.7206,1.29077,-0.304288
864.205,19.7199,1.29199,-0.304642
865.624,19.7192,1.29321,-0.304996
867.043,19.7184,1.29444,-0.305351
868.462,19.7177,1.29566,-0.305707
869.881,19.717,1.29689,-0.306063
871.3,19.7162,1.29812,-0.30642
872.719,19.7155,1.29934,-0.306777
874.138,19.7148,1.30057,-0.307135
875.557,19.714,1.3018,-0.307494
876.976,19.7133,1.30303,-0.307852
878.395,19.7126,1.30426,-0.308212
879.814,19.7118,1.30549,-0.308572
881.233,19.7111,1.30672,-0.308932
882.652,19.7104,1.30796,-0.309293
884.071,19.7096,1.30919,-0.309655
885.49,19.7089,1.31042,-0.310017
886.909,19.7081,1.31166,-0.310379
888.328,19.7074,1.31289,-0.310742
889.748,19.7067,1.31413,-0.311106
891.167,19.7059,1.31537,-0.31147
892.586,19.7052,1.31661,-0.311835
894.005,19.7044,1.31785,-0.3122
895.424,19.7037,1.31909,-0.312566
896.843,19.7029,1.32033,-0.312932
898.262,19.7022,1.32157,-0.3133
899.681,19.7014,1.32281,-0.313668
901.1,19.7007,1.32406,-0.314037
902.519,19.6999,1.3253,-0.314407
903.938,19.6992,1.32655,-0.314777
905.357,19.6985,1.32779,-0.315149
906.776,19.6977,1.32904,-0.315521
908.195,19.6969,1.33029,-0.315894
909.614,19.6962,1.33154,-0.316268
911.033,19.6954,1.33279,-0.316643
912.452,19.6947,1.33404,-0.317018
913.872,19.6939,1.33529,-0.317394
915.291,19.6932,1.33654,-0.31777
916.71,19.6924,1.33779,-0.318147
918.129,19.6917,1.33904,-0.318525
919.548,19.6909,1.3403,-0.318903
920.967,19.6902,1.34155,-0.319282
922.386,19.6894,1.34281,-0.319661
923.805,19.6886,1.34406,-0.32004
925.224,19.6879,1.34532,-0.320421
926.643,19.6871,1.34658,-0.320801
928.062,19.6864,1.34784,-0.321182
929.481,19.6856,1.3491,-0.321564
930.9,19.6848,1.35036,-0.321946
932.319,19.6841,1.35162,-0.322329
933.738,19.6833,1.35288,-0.322713
935.157,19.6826,1.35414,-0.323098
936.576,19.6818,1.35541,-0.323485
937.995,19.681,1.35667,-0.323871
939.414,19.6803,1.35794,-0.324259
940.834,19.6795,1.35921,-0.324647
942.253,19.6787,1.36048,-0.325037
943.672,19.678,1.36175,-0.325427
945.091,19.6772,1.36302,-0.325819
946.51,19.6764,1.36429,-0.326211
947.929,19.6756,1.36557,-0.326603
949.348,19.6749,1.36684,-0.326997
950.767,19.6741,1.36811,-0.327392
952.186,19.6733,1.36939,-0.327787
953.605,19.6726,1.37067,-0.328183
955.024,19.6718,1.37195,-0.32858
956.443,19.671,1.37323,-0.328978
957.862,19.6702,1.37451,-0.329377
959.281,19.6695,1.37579,-0.329776
960.7,19.6687,1.37708,-0.330176
962.119,19.6679,1.37836,-0.330577
963.538,19.6671,1.37965,-0.330979
